北京卫视,#genre#
4K超清 17M2160,http://221.179.136.149/PLTV/88888888/224/3221226550/1.m3u8
淘BABY 8M1080,http://111.13.42.6/PLTV/88888888/224/3221226554/1.m3u8
淘剧场 8M1080,http://221.179.136.139/PLTV/88888888/224/3221226553/1.m3u8
淘娱乐 8M1080,http://111.13.42.230/PLTV/88888888/224/3221226551/1.m3u8
淘电影 8M1080,http://221.179.136.144/PLTV/88888888/224/3221226552/1.m3u8
萌宠TV 8M1080,http://221.179.136.146/PLTV/88888888/224/3221226555/1.m3u8
大健康 8M1080,http://111.13.42.45/PLTV/88888888/224/3221226556/1.m3u8
凤凰中文 10M720,http://221.179.217.69/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文 10M720,http://111.13.42.8/PLTV/88888888/224/3221225948/1.m3u8
凤凰资讯 10M720,http://221.179.217.76/PLTV/88888888/224/3221225949/1.m3u8
央视,#genre#
CCTV1 2.5M1080,http://221.179.136.151/PLTV/88888888/224/3221225924/1.m3u8
CCTV1 4M1080,http://111.13.42.9/PLTV/88888888/224/3221226416/1.m3u8
CCTV1 4M1080,http://111.13.42.42/PLTV/88888888/224/3221226154/1.m3u8
CCTV1 4M1080,http://111.13.42.42/PLTV/88888888/224/3221226155/1.m3u8
CCTV1 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226226/1.m3u8
CCTV1 8M1080,http://221.179.136.149/PLTV/88888888/224/3221226346/1.m3u8
CCTV1 8M1080,http://111.13.42.13/PLTV/88888888/224/3221226431/1.m3u8
CCTV2 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226230/1.m3u8
CCTV2 8M1080,http://221.179.136.136/PLTV/88888888/224/3221226371/1.m3u8
CCTV2 8M1080,http://221.179.136.136/PLTV/88888888/224/3221226472/1.m3u8
CCTV3 8M1080,http://111.13.42.12/PLTV/88888888/224/3221226471/1.m3u8
CCTV4 4M1080,http://221.179.136.146/PLTV/88888888/224/3221226314/1.m3u8
CCTV4 4M1080,http://111.13.42.12/PLTV/88888888/224/3221226335/1.m3u8
CCTV4 8M1080,http://221.179.136.149/PLTV/88888888/224/3221226470/1.m3u8
CCTV5 8M1080,http://111.13.42.47/PLTV/88888888/224/3221226469/1.m3u8
CCTV5+ 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226225/1.m3u8
CCTV5+ 8M1080,http://221.179.136.142/PLTV/88888888/224/3221226349/1.m3u8
CCTV5+ 8M1080,http://111.13.42.42/PLTV/88888888/224/3221226458/1.m3u8
CCTV6 8M1080,http://221.179.217.76/PLTV/88888888/224/3221226468/1.m3u8
CCTV7 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226234/1.m3u8
CCTV7 8M1080,http://111.13.42.42/PLTV/88888888/224/3221226467/1.m3u8
CCTV8 8M1080,http://221.179.217.69/PLTV/88888888/224/3221226485/1.m3u8
CCTV9 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226236/1.m3u8
CCTV9 8M1080,http://221.179.136.151/PLTV/88888888/224/3221226465/1.m3u8
CCTV10 2.5M1080,http://221.179.136.151/PLTV/88888888/224/3221226227/1.m3u8
CCTV10 8M1080,http://221.179.136.136/PLTV/88888888/224/3221226464/1.m3u8
CCTV11 3.5M1080,http://221.179.136.144/PLTV/88888888/224/3221226334/1.m3u8
CCTV11 4M1080,http://221.179.136.149/PLTV/88888888/224/3221226315/1.m3u8
CCTV11 8M1080,http://221.179.136.144/PLTV/88888888/224/3221226463/1.m3u8
CCTV12 2.5M1080,http://221.179.136.151/PLTV/88888888/224/3221226228/1.m3u8
CCTV12 8M1080,http://221.179.136.151/PLTV/88888888/224/3221226462/1.m3u8
CCTV13 4M1080,http://221.179.136.144/PLTV/88888888/224/3221226316/1.m3u8
CCTV14 2.5M1080,http://221.179.136.151/PLTV/88888888/224/3221226229/1.m3u8
CCTV14 8M1080,http://111.13.42.44/PLTV/88888888/224/3221226461/1.m3u8
CCTV15 1.5M1080,http://111.13.42.46/PLTV/88888888/224/3221226460/1.m3u8
CCTV15 3.5M1080,http://221.179.136.146/PLTV/88888888/224/3221226317/1.m3u8
CCTV15 3.5M1080,http://221.179.136.140/PLTV/88888888/224/3221226333/1.m3u8
CCTV17 4M1080,http://221.179.136.140/PLTV/88888888/224/3221226318/1.m3u8
CCTV17 8M1080,http://221.179.136.143/PLTV/88888888/224/3221226459/1.m3u8
卫视,#genre#
中国教育1 8M1080,http://111.13.42.43/PLTV/88888888/224/3221226494/1.m3u8
东南卫视 4M1080,http://111.13.42.13/PLTV/88888888/224/3221226406/1.m3u8
东南卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226496/1.m3u8
东方卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226237/1.m3u8
东方卫视 8M1080,http://221.179.136.138/PLTV/88888888/224/3221226364/1.m3u8
东方卫视 8M1080,http://221.179.136.145/PLTV/88888888/224/3221226505/1.m3u8
北京卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226224/1.m3u8
北京卫视 8M1080,http://111.13.42.46/PLTV/88888888/224/3221226367/1.m3u8
北京卫视 8M1080,http://111.13.42.12/PLTV/88888888/224/3221226441/1.m3u8
天津卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226246/1.m3u8
天津卫视 8M1080,http://111.13.42.10/PLTV/88888888/224/3221226502/1.m3u8
安徽卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226223/1.m3u8
安徽卫视 8M1080,http://111.13.42.44/PLTV/88888888/224/3221226499/1.m3u8
山东卫视 4M1080,http://221.179.217.75/PLTV/88888888/224/3221225894/1.m3u8
山东卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226244/1.m3u8
山东卫视 8M1080,http://221.179.136.145/PLTV/88888888/224/3221226308/1.m3u8
山东卫视 8M1080,http://111.13.42.13/PLTV/88888888/224/3221226501/1.m3u8
广东卫视 4M1080,http://221.179.217.75/PLTV/88888888/224/3221225878/1.m3u8
广东卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226238/1.m3u8
广东卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226508/1.m3u8
江苏卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226242/1.m3u8
江苏卫视 8M1080,http://221.179.136.135/PLTV/88888888/224/3221226366/1.m3u8
江苏卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226506/1.m3u8
江西卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226243/1.m3u8
河北卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226507/1.m3u8
浙江卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226247/1.m3u8
浙江卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226365/1.m3u8
浙江卫视 8M1080,http://221.179.217.94/PLTV/88888888/224/3221226504/1.m3u8
深圳卫视 4M1080,http://111.13.42.7/PLTV/88888888/224/3221225897/1.m3u8
深圳卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226245/1.m3u8
深圳卫视 8M1080,http://111.13.42.10/PLTV/88888888/224/3221226495/1.m3u8
湖北卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226240/1.m3u8
湖北卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226310/1.m3u8
湖北卫视 8M1080,http://111.13.42.46/PLTV/88888888/224/3221226503/1.m3u8
湖南卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226241/1.m3u8
湖南卫视 8M1080,http://221.179.136.147/PLTV/88888888/224/3221226509/1.m3u8
贵州卫视 8M1080,http://221.179.136.143/PLTV/88888888/224/3221226497/1.m3u8
辽宁卫视 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226500/1.m3u8
黑龙江卫视 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226239/1.m3u8
黑龙江卫视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226498/1.m3u8
北京冬奥纪实 8M1080,http://111.13.42.43/PLTV/88888888/224/3221226438/1.m3u8
北京影视 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226486/1.m3u8
北京文艺 8M1080,http://221.179.136.135/PLTV/88888888/224/3221226440/1.m3u8
北京新闻 8M1080,http://221.179.136.140/PLTV/88888888/224/3221226437/1.m3u8
北京卡酷 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226558/1.m3u8
湖南快乐垂钓 8M1080,http://111.13.42.46/PLTV/88888888/224/3221226549/1.m3u8
湖南茶频道 8M1080,http://221.179.136.150/PLTV/88888888/224/3221226548/1.m3u8
黑莓动画 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225914/1.m3u8
黑莓动画 4M1080,http://221.179.136.150/PLTV/88888888/224/3221226289/1.m3u8
黑莓电影 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225927/1.m3u8
